id,date,time,x,y,zone
T001,2013-07-07,9:24:00 AM,347725,4944678,18
T001,2013-07-12,8:57:00 AM,347670,4944599,18
T001,2013-07-21,9:53:00 AM,347682,4944619,18
T001,2013-07-28,11:30:00 AM,347662,4944609,18
T001,2013-08-03,9:24:00 AM,347877,4944554,18
T001,2013-08-09,8:34:00 AM,348037,4944498,18
T001,2013-08-18,10:40:00 AM,348035,4944496,18
T001,2013-09-06,9:36:00 AM,347828,4944548,18
T001,2013-09-28,8:59:00 AM,347593,4944543,18
T001,2013-10-12,10:41:00 AM,347635,4944489,18
T001,2013-10-19,7:21:00 AM,347631,4944493,18
T001,2013-10-26,11:28:00 AM,347637,4944496,18
T001,2014-04-27,12:49:00 PM,347657,4944485,18
T001,2014-05-11,7:49:00 AM,347679,4944496,18
T001,2014-05-25,12:02:00 PM,347644,4944479,18
T001,2014-06-01,12:05:00 PM,347685,4944578,18
T001,2014-06-07,7:02:00 AM,347616,4944470,18
T001,2014-06-15,8:43:00 AM,347800,4944531,18
T001,2014-07-06,8:16:00 AM,347623,4944458,18
T001,2014-07-12,9:56:00 AM,347730,4944542,18
T001,2014-07-20,12:06:00 PM,347674,4944592,18
T001,2014-07-27,10:12:00 AM,347709,4944399,18
T001,2014-08-03,8:00:00 AM,347631,4944488,18
T001,2014-08-22,8:54:00 AM,347847,4944535,18
T001,2014-10-12,10:24:00 AM,347643,4944563,18
T001,2014-10-26,11:13:00 AM,347639,4944573,18
T001,2015-04-02,12:37:00 PM,347690,4944599,18
T001,2015-04-25,12:03:00 PM,347625,4944333,18
T001,2015-05-09,7:57:00 AM,347651,4944588,18
T002,2013-07-06,11:13:00 AM,350190,4945885,18
T002,2013-07-13,10:53:00 AM,350144,4945741,18
T002,2013-07-25,12:25:00 PM,350211,4945898,18
T002,2013-08-04,8:29:00 AM,350205,4945971,18
T002,2013-08-09,11:04:00 AM,350208,4945963,18
T002,2013-08-17,8:13:00 AM,350198,4945963,18
T002,2013-09-01,10:36:00 AM,350202,4945967,18
T002,2013-09-06,12:39:00 PM,350200,4945969,18
T002,2013-09-13,7:24:00 AM,350220,4945972,18
T002,2013-09-14,10:57:00 AM,350172,4945843,18
T002,2013-09-28,7:21:00 AM,350213,4945970,18
T002,2013-10-05,7:48:00 AM,350214,4945973,18
T002,2013-10-13,8:20:00 AM,350212,4945971,18
T002,2013-10-18,12:38:00 PM,350213,4945970,18
T002,2013-10-25,11:48:00 AM,350212,4945973,18
T002,2014-05-03,8:10:00 AM,350074,4944990,18
T002,2014-05-10,7:11:00 AM,350061,4945174,18
T002,2014-05-17,7:25:00 AM,350501,4945409,18
T002,2014-05-30,10:08:00 AM,350126,4945186,18
T002,2014-06-14,9:00:00 AM,350196,4945933,18
T002,2014-06-29,12:50:00 PM,350195,4945980,18
T002,2014-07-06,11:05:00 AM,350202,4945976,18
T002,2014-07-11,11:28:00 AM,350167,4945885,18
T002,2014-07-19,9:48:00 AM,350197,4945975,18
T002,2014-07-26,10:46:00 AM,350274,4945826,18
T002,2014-08-02,10:44:00 AM,350232,4945603,18
T002,2014-08-17,10:25:00 AM,350200,4945986,18
T002,2014-08-22,10:46:00 AM,350194,4945964,18
T002,2014-08-31,8:36:00 AM,350203,4945962,18
T002,2014-09-14,8:17:00 AM,350157,4945639,18
T002,2014-09-27,11:51:00 AM,350179,4945948,18
T002,2014-10-12,8:41:00 AM,350168,4945709,18
T002,2014-10-26,11:27:00 AM,350184,4945949,18
T003,2013-07-07,10:33:00 AM,350014,4945707,18
T003,2013-07-13,12:07:00 PM,350003,4945743,18
T003,2013-07-21,11:28:00 AM,349920,4945832,18
T003,2013-07-27,10:05:00 AM,349924,4945825,18
T003,2013-08-04,8:39:00 AM,349979,4945784,18
T003,2013-08-09,12:26:00 PM,350001,4945779,18
T003,2013-08-17,8:32:00 AM,350005,4945792,18
T003,2013-09-01,9:49:00 AM,350004,4945781,18
T003,2013-09-06,11:39:00 AM,349989,4945788,18
T003,2013-09-14,9:26:00 AM,349991,4945785,18
T003,2013-09-22,10:35:00 AM,349990,4945787,18
T003,2013-09-27,9:57:00 AM,349989,4945785,18
T003,2013-10-05,9:16:00 AM,349990,4945786,18
T003,2013-10-25,9:07:00 AM,350208,4945979,18
T003,2014-04-03,10:25:00 AM,350133,4945779,18
T003,2014-04-26,9:58:00 AM,350123,4945769,18
T003,2014-05-03,8:46:00 AM,350135,4945841,18
T003,2014-05-17,8:00:00 AM,350162,4945867,18
T003,2014-06-01,12:23:00 PM,350196,4945944,18
T003,2014-06-08,11:05:00 AM,349927,4945812,18
T003,2014-06-15,9:24:00 AM,349910,4945817,18
T003,2014-06-29,12:27:00 PM,350144,4945832,18
T003,2014-07-06,10:27:00 AM,350132,4945816,18
T003,2014-07-19,9:23:00 AM,349929,4945828,18
T003,2014-07-27,11:26:00 AM,349978,4945763,18
T003,2014-08-16,7:14:00 AM,349955,4945784,18
T003,2014-08-22,12:12:00 PM,350126,4945801,18
T003,2014-08-31,8:38:00 AM,350121,4945822,18
T003,2014-09-14,7:02:00 AM,350087,4945789,18
T003,2014-09-27,9:49:00 AM,350123,4945818,18
T003,2014-10-12,11:05:00 AM,350099,4945800,18
T003,2014-10-26,9:16:00 AM,350108,4945800,18
T003,2015-04-26,11:02:00 AM,350109,4945561,18
T003,2015-05-03,10:48:00 AM,350133,4945779,18
T003,2015-05-17,10:49:00 AM,349839,4945287,18
T003,2015-06-06,9:44:00 AM,350105,4945566,18
T003,2015-07-18,7:53:00 AM,350239,4945612,18
T003,2015-08-15,7:07:00 AM,349978,4945503,18
T003,2015-09-07,11:40:00 AM,349867,4945590,18
T003,2015-10-08,7:21:00 AM,350120,4945586,18
T004,2013-07-13,9:00:00 AM,350178,4945260,18
T004,2013-07-21,7:24:00 AM,350176,4945253,18
T004,2013-07-27,10:05:00 AM,350209,4945358,18
T004,2013-08-03,10:24:00 AM,350156,4945299,18
T004,2013-08-11,9:06:00 AM,350136,4945211,18
T004,2013-08-17,12:58:00 PM,350131,4945219,18
T004,2013-09-01,7:58:00 AM,350175,4945261,18
T004,2013-09-06,12:56:00 PM,350140,4945177,18
T004,2013-09-14,11:35:00 AM,350027,4945120,18
T004,2013-09-22,11:27:00 AM,350001,4945140,18
T004,2013-10-05,9:48:00 AM,350006,4945123,18
T004,2013-10-12,8:34:00 AM,350058,4945160,18
T004,2013-10-18,4:30:00 PM,350025,4945155,18
T004,2013-10-25,12:49:00 PM,350057,4945153,18
T004,2013-10-25,8:34:00 AM,NA,NA,18
T004,2014-04-14,12:23:00 PM,350073,4945124,18
T004,2014-05-03,12:29:00 PM,350109,4945198,18
T004,2014-05-10,9:55:00 AM,350032,4945115,18
T004,2014-05-30,12:00:00 PM,350297,4945400,18
T004,2014-06-15,12:51:00 PM,350154,4945332,18
T004,2014-07-05,10:08:00 AM,350403,4945751,18
T004,2014-07-12,8:53:00 AM,350276,4945826,18
T004,2014-07-19,12:57:00 PM,350375,4945738,18
T004,2014-08-16,8:27:00 AM,350146,4945278,18
T004,2014-08-31,8:21:00 AM,350125,4945260,18
T004,2014-09-14,7:22:00 AM,350138,4945261,18
T004,2014-10-12,11:49:00 AM,350124,4945239,18
T004,2014-10-26,8:57:00 AM,350102,4945237,18
T005,2013-07-05,10:59:00 AM,347699,4944615,18
T005,2013-07-14,9:22:00 AM,NA,NA,18
T005,2013-07-20,12:43:00 PM,347702,4944620,18
T005,2013-07-28,12:58:00 PM,347629,4944551,18
T005,2013-08-03,9:41:00 AM,347725,4944620,18
T005,2013-08-09,11:26:00 AM,347697,4944612,18
T005,2013-08-18,11:19:00 AM,347803,4944551,18
T005,2013-08-23,8:13:00 AM,347636,4944520,18
T005,2013-09-02,7:48:00 AM,347687,4944498,18
T005,2013-09-06,9:41:00 AM,347723,4944522,18
T005,2013-10-12,8:59:00 AM,347660,4944497,18
T005,2013-10-19,11:32:00 AM,347663,4944503,18
T005,2013-10-26,9:31:00 AM,347664,4944505,18
T005,2014-04-25,11:51:00 AM,347618,4944367,18
T005,2014-05-10,10:50:00 AM,347651,4944631,18
T005,2014-05-17,7:42:00 AM,347616,4944492,18
T005,2014-05-25,9:14:00 AM,347649,4944492,18
T005,2014-05-31,9:35:00 AM,347718,4944346,18
T005,2014-06-15,9:52:00 AM,347600,4944304,18
T005,2014-06-21,9:52:00 AM,347719,4944347,18
T005,2014-06-28,9:05:00 AM,347756,4944564,18
T005,2014-06-29,12:01:00 PM,347722,4944485,18
T005,2014-07-06,8:02:00 AM,347736,4944559,18
T005,2014-07-12,12:35:00 PM,347733,4944559,18
T005,2014-07-27,7:49:00 AM,347733,4944528,18
T005,2014-08-03,9:31:00 AM,347630,4944573,18
T005,2014-08-22,12:12:00 PM,347707,4944294,18
T005,2014-08-31,12:00:00 PM,347628,4944568,18
T005,2014-09-14,10:27:00 AM,347632,4944577,18
T005,2014-09-27,11:03:00 AM,347636,4944572,18
T005,2014-10-12,7:43:00 AM,347641,4944568,18
T005,2014-10-26,7:55:00 AM,347617,4944562,18
T005,2015-04-02,12:37:00 PM,347690,4944599,18
T005,2015-04-25,11:09:00 AM,347614,4944333,18
T005,2015-05-02,10:26:00 AM,347690,4944599,18
T005,2015-05-16,7:09:00 AM,347670,4944398,18
T005,2015-05-24,7:33:00 AM,347673,4944408,18
T005,2015-06-27,7:00:00 AM,347695,4944371,18
T005,2015-07-12,9:47:00 AM,347667,4944575,18
T005,2015-09-07,8:54:00 AM,347713,4944333,18
